NP,Threshold,Amount
1,30% AMI,21050.00
2,30% AMI,24050.00
3,30% AMI,27100.00
4,30% AMI,30100.00
5,30% AMI,32500.00
6,30% AMI,34900.00
7,30% AMI,37300.00
8,30% AMI,39700.00
1,40% AMI,28100.00
2,40% AMI,32100.00
3,40% AMI,36100.00
4,40% AMI,40100.00
5,40% AMI,43350.00
6,40% AMI,46550.00
7,40% AMI,49750.00
8,40% AMI,52950.00
1,50% AMI,35100.00
2,50% AMI,40100.00
3,50% AMI,45150.00
4,50% AMI,50150.00
5,50% AMI,54150.00
6,50% AMI,58150.00
7,50% AMI,62200.00
8,50% AMI,66200.00
1,60% AMI,42150.00
2,60% AMI,48150.00
3,60% AMI,54150.00
4,60% AMI,60200.00
5,60% AMI,65000.00
6,60% AMI,69800.00
7,60% AMI,74600.00
8,60% AMI,79450.00
1,65% AMI,45650.00
2,65% AMI,52150.00
3,65% AMI,58700.00
4,65% AMI,65200.00
5,65% AMI,70400.00
6,65% AMI,75650.00
7,65% AMI,80850.00
8,65% AMI,86050.00
1,70% AMI,49150.00
2,70% AMI,56150.00
3,70% AMI,63200.00
4,70% AMI,70200.00
5,70% AMI,75850.00
6,70% AMI,81450.00
7,70% AMI,87050.00
8,70% AMI,92700.00
1,75% AMI,52650.00
2,75% AMI,60200.00
3,75% AMI,67700.00
4,75% AMI,75250.00
5,75% AMI,81250.00
6,75% AMI,87250.00
7,75% AMI,93300.00
8,75% AMI,99300.00
1,80% AMI,56200.00
2,80% AMI,64200.00
3,80% AMI,72250.00
4,80% AMI,80250.00
5,80% AMI,86700.00
6,80% AMI,93100.00
7,80% AMI,99550.00
8,80% AMI,105950.00
1,85% AMI,59700.00
2,85% AMI,68200.00
3,85% AMI,76750.00
4,85% AMI,85250.00
5,85% AMI,92100.00
6,85% AMI,98900.00
7,85% AMI,105700.00
8,85% AMI,112550.00
1,90% AMI,63200.00
2,90% AMI,72200.00
3,90% AMI,81250.00
4,90% AMI,90250.00
5,90% AMI,97500.00
6,90% AMI,104700.00
7,90% AMI,111950.00
8,90% AMI,119150.00